,joint_effort[0],joint_effort[1],joint_effort[2],joint_effort[3],joint_effort[4],joint_effort[5],cluster
54,-0.021389307249964,0.287409104906014,-1.39262617855464,-0.447001124251858,-0.392722673485331,-0.037319038468909,0
55,-0.021033325806179,0.292636425568467,-1.40998214679521,-0.4490183357734,-0.390847661135079,-0.036792580350252,0
56,-0.020608833709766,0.301903402351096,-1.3930276052999,-0.44647218231522,-0.387893697478106,-0.036187689133217,0
57,-0.005559808806661,0.32022703148167,-1.39476158244342,-0.441692525647649,-0.393415897433633,-0.038546677104408,0
58,-0.031866418277471,0.302567951530354,-1.39471512079306,-0.444084423721571,-0.386958916171387,-0.037914558925733,0
59,-0.035584431024575,0.265320991067701,-1.40127372300518,-0.450858071706092,-0.38775580650131,-0.034780340340549,0
60,-0.011003612073714,0.276666162035075,-1.41216714061718,-0.447795743306379,-0.392741698662334,-0.036365468115043,0
61,-0.019316486103929,0.297451238886498,-1.42916058985811,-0.443623004603349,-0.392096355428478,-0.032453990541096,0
62,0.005504816494635,0.307834066275988,-1.42183321606833,-0.439946873576644,-0.399640592161906,-0.036719461693728,0
63,0.008196930370635,0.285005102984,-1.392604140731,-0.445783451133571,-0.398827576156588,-0.033512588818016,0
64,-0.017775131294288,0.282369261156297,-1.39540284537546,-0.447451152136858,-0.392508690419134,-0.034802593072822,0
65,-0.041369911937341,0.29197459980189,-1.39775660007223,-0.444370270431546,-0.388408464847465,-0.037669311142395,0
66,-0.015177644977719,0.292973042575075,-1.40431760698116,-0.442958291410992,-0.394209951540334,-0.036269961453974,0
67,-0.046377844137482,0.310816488997914,-1.40107857819123,-0.439054560216766,-0.386500205633166,-0.038741376391875,0
68,-0.015296433743729,0.288422883525143,-1.40004459684216,-0.443673144523094,-0.396701555567879,-0.03735363207833,0
69,-0.029212519056842,0.292180392538879,-1.42143032179119,-0.444232015022961,-0.394202765149791,-0.034779257172796,0
70,-0.011543564793524,0.282886662793794,-1.39801886337826,-0.447067816047357,-0.39346446516508,-0.034809420908931,0
71,0.012422450519325,0.279666093158467,-1.40561416567616,-0.447054378896131,-0.398005163396939,-0.033673850859708,0
72,0.001145866525227,0.299110189712956,-1.40546682174033,-0.44293112890369,-0.394169982484279,-0.036468887460149,0
73,-0.01161403358205,0.293935893152765,-1.4163615182844,-0.442681792291236,-0.391004109248358,-0.038666678117508,0
74,0.026310360788618,0.303586985852276,-1.42296774159953,-0.440384512299504,-0.400986918361629,-0.039748371625838,0
75,0.017932590593517,0.291066596135681,-1.42821286366471,-0.443311681618662,-0.39958356302155,-0.036483488391106,0
76,-0.003560445643005,0.285363493311082,-1.40625717114501,-0.444329118932704,-0.39359477367963,-0.032436474588652,0
77,0.018795516585482,0.273007736976789,-1.4077426209529,-0.445756311334582,-0.399084058179186,-0.029926143760092,0
78,-0.007301977818824,0.292139128372191,-1.41280765485015,-0.441802813997566,-0.394476855479023,-0.036132054335226,0
79,-0.011605960401164,0.288848096520443,-1.40797313515662,-0.440017126865138,-0.39135446334163,-0.03772468293179,0
80,0.019556203913704,0.284740730602634,-1.4075946613518,-0.44520705436258,-0.400367523650433,-0.035026985787635,0
81,0.021777264781293,0.261772985256638,-1.41214531390167,-0.449232468368733,-0.399177085331727,-0.030908197810046,0
82,0.012576610539267,0.283942019085609,-1.42155055117938,-0.444212278166482,-0.397579613942412,-0.036240130833827,0
83,0.022351005994722,0.287698731385859,-1.41392085344764,-0.442483781777493,-0.398167329927946,-0.036095143337032,0
84,0.000822910296229,0.306208105370841,-1.42560373393998,-0.438349690169254,-0.39301707430085,-0.039933239727776,0
85,0.02042835473774,0.282506956233828,-1.40782840561355,-0.444375699104216,-0.396624577760221,-0.039281471477117,0
86,0.004368235873704,0.287267582503171,-1.41340104828133,-0.443947403789447,-0.394364775801586,-0.037641238960479,0
87,0.012530540270507,0.301212035135561,-1.40751537651217,-0.440923347467844,-0.395795846639876,-0.036773110404256,0
88,0.004736733535093,0.28769872789807,-1.4239417212995,-0.444633352290571,-0.396705418074476,-0.033965983173071,0
89,0.031175557145301,0.275455453752389,-1.43027756071343,-0.446434777419711,-0.403036723150891,-0.032509575376613,0
90,0.014570235826085,0.281623524815301,-1.42093457126735,-0.445506855994848,-0.400321320330508,-0.031820161175906,0
91,0.021175364292643,0.288334580819733,-1.41269887114873,-0.442582817739768,-0.399565217535164,-0.034315594373699,0
92,0.015804292517088,0.283256294260487,-1.41136410477838,-0.441356621945564,-0.397685548052372,-0.035573188250695,0
93,-0.011556606135581,0.285014491246889,-1.43997084241332,-0.441105839199011,-0.390467766713923,-0.035912911409307,0
94,0.012254148370117,0.284002565994111,-1.38429694149453,-0.441500346973634,-0.39379101988613,-0.03566182154499,0
95,0.021337288629975,0.268674432280256,-1.41576011993219,-0.445592372075294,-0.398552518898848,-0.031032190544562,0
96,0.018386460588267,0.267865310820818,-1.41834745578649,-0.446914669628603,-0.398325552857241,-0.034831094971262,0
97,0.024822442972256,0.288949819875875,-1.41070878559628,-0.443302023268305,-0.400113599746258,-0.037396933681998,0
98,0.040390488996804,0.269938860476025,-1.42844186456875,-0.446431356982511,-0.403036771194211,-0.032442475548987,0
99,-0.015337016087131,0.27900751579859,-1.41561794221971,-0.44098364919776,-0.391125219071627,-0.035720684006207,0
100,0.004885091306754,0.276003345186377,-1.39788457266133,-0.442071680451326,-0.394914412797477,-0.032319410510699,0
101,-0.001997336062154,0.276118421679755,-1.38885102270327,-0.444468970227988,-0.392961894228319,-0.034089954904949,0
102,0.014438504136808,0.283701814833226,-1.39996946617745,-0.444533411167209,-0.39583456987025,-0.038445123755148,0
103,-0.008146123132632,0.297020663753567,-1.40532642629681,-0.439988624877347,-0.389931981322535,-0.037903153646847,0
104,0.021779703794922,0.291455373528429,-1.39362387157368,-0.44149196907744,-0.396615156890739,-0.034291153529129,0
105,0.037881724143474,0.297183336441985,-1.4090366606036,-0.43964812788557,-0.401381492093216,-0.03627627460823,0
106,0.007494814752586,0.281445501503273,-1.39724892533339,-0.442386216185729,-0.395916348085729,-0.034952351366344,0
107,0.010055248579576,0.272743685729754,-1.38016273583111,-0.443497357264922,-0.396642950576214,-0.033154507063502,0
108,0.007312673525035,0.285868498843184,-1.41471225240758,-0.439883814879246,-0.396786715364769,-0.03618408854935,0
109,0.009243269724229,0.286788765559969,-1.40612391291943,-0.441104350802306,-0.393757845821444,-0.037177549240136,0
110,0.026134530493312,0.262539916810236,-1.37560204215997,-0.444248168379432,-0.395550203369463,-0.033482963503212,0
111,0.020921194175175,0.250083147448144,-1.39168141859643,-0.449764020496299,-0.395976722401981,-0.032758583515712,0
112,-0.006307099538717,0.277513512386238,-1.37829559259826,-0.445104524198717,-0.387982495476672,-0.036599679003969,0
113,-0.003990594802975,0.269526041423785,-1.38216294183799,-0.444045136084485,-0.387630448746823,-0.03415577738705,0
114,0.014607213601585,0.295295045098542,-1.39319616820352,-0.439013939826658,-0.392715212389235,-0.038358028295528,0
115,0.00123053244928,0.294167973072351,-1.38469077976507,-0.438594600274482,-0.389097476825404,-0.039888105427566,0
