,base,rotation,translation,base1,rotation1,translation1
113,0.9370345,-0.1199622,-0.007307168,1.0,0.0,0.0
114,0.9339306,-0.008418579,-0.033682242,1.0,0.0,0.0
115,0.830683,-0.087365076,0.0017720461,1.0,0.0,0.0
116,0.9269388,-0.0016452931,-0.042761527,1.0,0.0,0.0
117,0.8089635,-0.101274535,0.0052854754,1.0,0.0,0.0
118,0.9324811,-0.0040480383,-0.02054894,1.0,0.0,0.0
119,0.86402607,0.06985071,-0.048414648,1.0,0.0,0.0
120,0.9101804,0.007555995,-0.041572645,1.0,0.0,0.0
121,0.9206232,-0.0059673823,-0.046057776,1.0,0.0,0.0
122,0.8262775,-0.2159516,-0.047922917,1.0,0.0,0.0
123,0.8050517,-0.21767308,-0.047753155,1.0,0.0,0.0
124,-0.08821489,-0.1634895,0.87101007,0.0,0.0,1.0
125,0.9335145,-0.027097259,-0.041723825,1.0,0.0,0.0
126,0.82625073,-0.107488096,-0.0149801,1.0,0.0,0.0
127,0.9198487,0.0034333877,-0.01770302,1.0,0.0,0.0
128,0.9102041,-0.108886406,-0.0062011443,1.0,0.0,0.0
129,0.90428424,0.012248624,-0.03057199,1.0,0.0,0.0
130,0.6928729,0.20198046,0.010029793,0.0,1.0,0.0
131,0.9436275,-0.0036197193,-0.028530136,1.0,0.0,0.0
132,0.91599745,0.014901351,-0.03775488,1.0,0.0,0.0
133,0.9543097,-0.15818933,-0.016355768,1.0,0.0,0.0
134,0.9214648,0.0046446584,-0.042885542,1.0,0.0,0.0
135,0.9301222,-0.16713704,-0.010883197,1.0,0.0,0.0
136,0.8237134,-0.08717114,0.007667996,1.0,0.0,0.0
137,0.82408863,-0.22023384,-0.06581385,1.0,0.0,0.0
138,0.06879775,-0.2295473,0.9178742,0.0,0.0,1.0
139,0.841166,-0.1853631,-0.07226732,1.0,0.0,0.0
140,0.9375799,-0.0039392747,-0.03129659,1.0,0.0,0.0
141,0.8242916,-0.22199707,-0.07068836,1.0,0.0,0.0
142,0.83443165,-0.19035089,-0.06281501,1.0,0.0,0.0
143,0.7985753,-0.08852588,0.037297502,1.0,0.0,0.0
144,0.9113091,0.009595815,-0.031893,1.0,0.0,0.0
145,0.8337096,-0.09010236,-0.014836073,1.0,0.0,0.0
146,0.9336078,-0.12641637,-0.0037759207,1.0,0.0,0.0
147,0.10152036,0.7545118,0.0186667,0.0,1.0,0.0
148,0.81545925,-0.10131849,-0.00018262118,1.0,0.0,0.0
149,0.9328809,0.0001402758,-0.03190732,1.0,0.0,0.0
150,0.94094145,-0.14633732,-0.016284525,1.0,0.0,0.0
151,0.9298104,-0.0007973127,-0.03273589,1.0,0.0,0.0
152,0.836892,-0.22255169,-0.06306485,1.0,0.0,0.0
153,0.94148034,-0.025602575,-0.009901702,1.0,0.0,0.0
154,0.7973124,-0.19200583,-0.056720294,1.0,0.0,0.0
155,0.9318941,-0.11543919,-0.006581627,1.0,0.0,0.0
156,0.9256079,-0.020365346,-0.04214205,1.0,0.0,0.0
157,0.9204021,0.0052870475,-0.047326736,1.0,0.0,0.0
158,0.90512186,-0.14660971,-0.013702452,1.0,0.0,0.0
159,0.8137146,-0.21004121,-0.042508245,1.0,0.0,0.0
160,0.92311966,-0.007857811,-0.03126213,1.0,0.0,0.0
161,0.9174504,0.01368871,-0.035898156,1.0,0.0,0.0
162,0.9323239,0.005215939,-0.03180126,1.0,0.0,0.0
163,0.93686604,-0.028471466,-0.040680572,1.0,0.0,0.0
164,-0.09321521,0.004695695,0.9701023,0.0,0.0,1.0
165,0.8111,-0.10056412,0.007866666,1.0,0.0,0.0
166,0.9264828,0.0025157891,-0.034102365,1.0,0.0,0.0
167,-0.23471253,-0.09720166,0.98927283,0.0,0.0,1.0
168,0.8354144,-0.10111298,-0.021402448,1.0,0.0,0.0
169,0.9036353,0.02087253,-0.03608694,1.0,0.0,0.0
